"caseid" "gender" "race" "c1rrscal" "c1rrtsco" "c1rmscal" "c1rmtsco" "c1rgscal" "c1rgtsco" "c1fmotor" "c1gmotor" "c2rrscal" "c2rrtsco" "c2rmscal" "c2rmtsco" "c2rgscal" "c2rgtsco" "c3rrscal" "c3rrtsco" "c3rmscal" "c3rmtsco" "c3rgscal" "c3rgtsco" "c4rrscal" "c4rrtsco" "c4rmscal" "c4rmtsco" "c4rgscal" "c4rgtsco" "p1learn" "p1contro" "p1social" "t1learn" "t1contro" "t1interp" "t1extern" "t1intern" "p1center" "p1disabl" "p1htotal" "p1hfamil" "p1firkdg" "p1hrsprk" "wkmomed" "wkdaded" "wklangst" "wksesl" "wksesq5" "s2kpupri" "p1count" "plshare" "p1pencil" "p1still" "p1letter" "p1verbal" "p1expect" "p1readbo" "p1tellst" "p1singso" "p1helpar" "p1chores" "p1games" "p1nature" "p1build" "p1sport" "p1chlboo" "p1chsesa" "p2librar" "p2safepl" "p2garbag" "p2drug" "p2burglr" "p2violen" "p2vacant" "p2bktog"
"47" 47 1 1 12 33 14 42 28 58 2 2 24 42 22 46 30 54 35 50 24 43 30 50 49 47 37 45 40 57 3 3.2 3.67 2 2.75 2.2 2 2 2 2 6 1 1 0 2 2 2 36 1 1 1 1 2 2 2 1 2 3 3 4 2 4 3 4 1 3 15 1 2 3 3 3 3 3 3 2
"48" 48 1 1 14 39 11 36 27 56 3 1 22 39 19 41 24 47 28 43 19 35 28 47 66 57 43 51 37 53 2.83 2.4 3.33 2.5 3 2.2 1 1.75 1 2 4 1 1 20 3 2 2 36 1 1 2 1 1 1 1 1 4 3 2 2 3 4 3 1 2 2 100 1 2 3 3 3 3 3 2 2
"49" 49 2 5 12 33 8 28 16 42 7 8 21 37 17 38 15 36 32 47 20 38 17 34 36 38 35 42 22 36 2.8 2.8 3.67 3.83 4 4 1 1 2 2 3 2 1 40 2 3 1 36 1 1 3 3 2 2 2 3 4 4 4 4 4 4 3 3 4 1 100 2 2 3 3 2 3 3 3 7
"50" 50 2 4 13 35 13 42 12 36 6 2 23 40 16 36 17 38 30 44 18 34 22 41 47 46 38 46 28 43 3.17 3 2.67 2.5 2.25 2.4 1.25 1.75 1 2 6 1 1 12 2 1 2 36 1 1 2 2 3 1 2 1 2 4 2 2 2 4 2 3 2 3 40 1 1 3 3 3 3 3 3 0
"51" 51 2 1 25 55 17 48 21 50 7 6 50 64 32 56 29 53 69 69 31 50 32 53 77 64 39 47 41 59 2.67 2.8 3.33 3.83 3.25 3.8 1 1.5 2 2 4 1 1 40 3 3 2 36 1 1 1 2 2 2 2 2 3 3 3 4 2 3 2 2 1 2 30 2 1 3 3 3 3 3 3 7
"52" 52 1 1 15 41 20 53 32 62 7 6 24 43 26 50 36 61 37 51 37 55 38 59 76 63 46 54 47 69 2.67 3 3.67 4 3.75 4 1 1.25 2 2 5 1 1 0 2 2 2 36 1 1 2 1 1 1 1 1 3 4 4 2 2 3 3 2 1 3 100 1 2 2 2 2 2 2 3 0
"53" 53 1 3 16 41 13 42 23 52 4 7 22 39 23 47 31 55 36 51 37 55 36 57 46 46 56 63 38 55 2.33 2 3.67 2.17 2.75 2.6 2 2.25 1 1 5 1 1 42 2 1 2 36 1 1 2 2 2 2 2 2 2 2 2 4 3 4 2 3 2 3 50 1 2 2 3 3 3 3 3 4
"54" 54 1 7 13 36 16 47 14 39 6 8 29 48 26 50 22 45 28 42 32 50 20 37 40 42 44 52 32 47 2.17 2.4 3 1.17 2 1.8 2.2 2.25 1 2 9 1 1 100 3 3 2 36 1 1 3 2 3 2 3 3 2 2 4 2 4 4 4 2 1 2 2 1 1 2 2 3 3 3 3 7
"55" 55 2 7 12 31 9 29 11 33 2 8 13 24 20 43 21 44 17 26 17 31 17 34 41 42 31 38 31 46 3 3.2 3 3.33 2.75 2.5 1.8 1.75 1 2 8 1 1 24 3 4 2 36 1 1 1 2 2 2 2 3 3 2 3 4 1 2 4 3 4 4 8 1 2 2 3 3 2 3 3 2
"56" 56 2 4 20 49 12 40 16 43 5 6 28 47 18 39 20 41 33 48 28 47 26 45 51 48 43 51 36 52 3.17 2.8 2.67 2.33 3.75 4 1 1.25 2 2 5 1 1 0 1 1 1 36 1 1 2 2 2 2 3 2 4 2 2 2 1 4 1 1 1 2 6 2 2 1 3 3 3 3 3 5
